state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
31,1,Leflore County High School,1A,4-0,77.1,22,0,9.1,63.5,27.5,8.5,62,46.7,24.1,Mostly same class,0.0,0,3,0
42,2,Simmons High School,1A,2-1,71.9,84,2,25.6,59.5,27.3,10.7,68,45.41,22.9,Playing up,1.333,2,1,0
90,3,Tupelo Christian,1A,4-0,57.5,-17,-1,-4.6,3.6,39.5,7.2,115,38.61,8.9,Playing up,1.0,2,0,0
123,4,Stringer Attendance Center,1A,2-2,47.5,1,-1,0.7,33.3,27.5,19.2,161,30.77,16.5,Playing up,0.667,2,1,0
129,5,Ethel Attendance Center,1A,2-2,44.6,35,5,11.5,21.6,26.8,12.0,176,28.88,11.7,Playing up,1.333,3,0,0
132,6,Calhoun City High School,1A,1-3,44.2,2,-1,0.2,84.2,19.5,39.5,158,31.43,29.9,Playing up,2.0,4,0,0
142,7,South Delta High School,1A,3-1,41.4,5,-1,1.5,20.7,25.0,19.0,162,30.73,15.7,Playing up,1.0,3,1,0
153,8,Nanih Waiya Attendance Center,1A,3-1,36.7,18,4,4.7,11.3,40.5,32.8,136,35.92,14.8,Playing up,0.5,2,2,0
154,9,Sebastopol Attendance Center,1A,1-3,36.6,32,6,8.2,50.5,20.2,25.8,180,26.99,20.1,Playing up,1.25,4,0,0
169,10,Coffeeville High School,1A,1-3,31.4,-1,1,-1.4,35.1,22.0,24.5,207,21.4,16.2,Playing up,0.75,3,1,0
173,11,Smithville High School,1A,2-2,29.9,-19,-4,-6.3,5.9,30.2,19.5,216,19.4,6.5,Playing up,1.0,3,1,0
177,12,Shaw High School,1A,1-3,29.1,-16,-3,-4.7,54.5,7.5,25.5,217,19.28,22.1,Playing up,1.0,2,1,0
182,13,Noxapater Attendance Center,1A,1-3,27.4,11,3,2.3,26.1,18.5,23.2,206,21.42,15.3,Playing up,1.25,4,0,0
183,14,McAdams Attendance Center,1A,2-2,27.0,-24,-6,-7.6,17.6,22.5,25.0,210,20.84,13.6,Playing up,1.0,3,1,0
184,15,French Camp,1A,1-3,27.0,10,2,2.2,39.2,14.8,29.8,228,16.42,21.1,Playing up,0.333,1,2,0
186,16,Resurrection,1A,0-3-1,26.8,-3,-2,-2.2,69.4,9.2,36.5,254,-1.29,19.9,Playing up,1.0,3,0,0
191,17,Richton High School,1A,2-2,25.6,8,4,3.5,13.5,16.8,17.5,215,19.71,11.4,Playing up,0.75,2,2,0
193,18,Taylorsville Attendance Center,1A,0-4,25.3,8,4,3.9,73.0,1.5,49.0,242,7.53,29.1,Playing up,1.25,4,0,0
194,19,Okolona High School,1A,1-3,25.0,-14,-6,-5.1,43.2,16.5,37.0,214,19.84,24.8,Playing up,2.667,3,0,0
196,20,Biggersville High School,1A,1-3,24.7,10,3,5.8,52.3,13.0,41.8,213,20.75,23.6,Playing up,1.5,3,1,0
197,21,Lumberton High School,1A,1-3,23.7,-2,-3,-0.4,24.8,13.5,23.0,212,20.76,17.4,Playing up,2.0,4,0,0
198,22,West Tallahatchie High School,1A,1-3,22.7,-1,-2,0.0,18.0,17.0,22.2,230,15.08,14.6,Playing up,1.0,3,1,0
199,23,Potts Camp High School (5-12),1A,2-1,22.4,18,5,9.2,7.7,26.7,30.0,223,18.63,10.2,Playing up,1.667,3,0,0
201,24,West Bolivar High School,1A,1-3,19.2,-5,-5,-3.7,37.8,7.0,28.2,246,0.32,17.6,Playing up,1.0,2,2,0
208,25,Bogue Chitto School,1A,1-3,17.7,0,-1,0.2,34.7,10.5,32.2,239,10.7,16.4,Playing up,1.5,4,0,0
210,26,Salem Attendance Center,1A,1-3,17.4,0,-1,1.8,22.1,16.5,31.0,235,13.45,14.4,Playing up,0.75,2,2,0
214,27,Vardaman High School,1A,0-4,14.8,1,0,0.7,33.8,16.5,47.5,265,-8.43,18.2,Playing up,0.5,2,2,0
218,28,Falkner Attendance Center,1A,1-2,11.6,3,2,-0.0,5.0,15.3,27.3,255,-3.81,7.3,Playing up,1.5,2,0,0
219,29,Mount Olive Attendance Center,1A,0-4,11.3,6,5,4.9,32.0,1.5,42.5,271,-12.85,17.4,Playing up,1.25,4,0,0
221,30,West Lowndes High School,1A,0-3,10.6,1,1,-0.3,13.1,9.3,41.7,245,0.35,15.5,Playing up,0.667,1,2,0
222,31,Riverside High School,1A,0-4,9.6,-8,-5,-4.8,30.6,2.0,42.0,275,-14.29,15.5,Playing up,1.5,4,0,0
223,32,Ashland Middle-High School,1A,0-4,9.5,-3,-3,-2.8,28.4,11.5,45.8,273,-14.04,12.2,Playing up,1.5,3,1,0
224,33,H. W. Byers High School (5-12),1A,0-4,7.0,-1,-1,-0.9,15.3,10.0,35.8,274,-14.25,11.1,Playing up,2.0,4,0,0
225,34,West Lincoln School,1A,0-4,6.9,-1,-1,-0.8,14.9,7.5,34.8,270,-12.85,12.3,Playing up,1.0,2,1,0
