state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
8,1,Poplarville Jr Sr High School,4A,4-0,88.0,0,0,1.5,77.0,39.8,15.0,24,60.65,27.1,Playing up,2.0,4,0,0
13,2,Kosciusko Senior High School,4A,4-0,84.7,4,3,2.1,81.1,51.5,34.0,23,61.12,30.9,Playing up,2.0,4,0,0
15,3,Senatobia High School,4A,4-0,83.8,-5,-1,-1.6,62.2,34.8,10.8,38,54.11,26.2,Playing down,-1.333,0,1,2
18,4,Louisville High School,4A,2-2,82.6,1,2,1.0,87.8,21.8,13.8,13,72.2,43.0,Playing up,1.333,2,1,0
24,5,Mendenhall High School,4A,4-0,80.0,-10,-2,-3.8,72.5,40.0,25.5,44,50.99,25.8,Playing up,0.5,2,1,1
26,6,Pass Christian High School,4A,4-0,79.8,-10,-2,-3.5,55.0,48.0,18.5,50,49.92,22.9,Mostly same class,0.25,2,0,2
30,7,Itawamba Agricultural High School,4A,3-0,77.4,-10,0,-4.1,49.5,39.3,15.0,45,50.97,24.8,Playing up,1.0,2,1,0
37,8,Greene County High School,4A,4-0,73.7,8,4,3.4,67.1,33.0,21.2,77,44.26,23.8,Playing up,0.5,3,0,1
39,9,Corinth High School,4A,2-2,72.9,-2,1,0.1,87.4,20.0,20.0,54,49.25,33.7,Playing up,0.5,2,2,0
44,10,New Albany High School,4A,2-1,71.6,-11,-2,-2.6,67.6,27.3,18.3,53,49.26,27.0,Playing up,1.0,2,1,0
52,11,Shannon High School,4A,2-2,69.8,-4,2,0.2,66.2,28.0,21.0,42,51.27,31.4,Playing down,-0.5,1,1,2
54,12,Columbia High School,4A,2-2,69.2,2,2,1.7,57.7,33.5,24.0,41,52.12,30.8,Playing up,0.333,1,0,2
56,13,Morton High School,4A,4-0,68.7,19,5,6.8,54.1,36.0,24.0,76,44.34,22.8,Playing down,-0.5,0,3,1
57,14,Greenwood High School,4A,1-3,68.7,-21,-5,-4.2,86.9,12.8,13.5,85,42.82,29.0,Playing up,0.333,1,1,1
60,15,South Pike Senior High School,4A,1-2,67.2,-2,0,1.4,91.0,30.7,34.7,128,36.89,31.7,Playing down,-0.333,1,1,1
62,16,Forest High School,4A,3-1,66.6,30,4,9.0,52.7,30.0,19.0,92,41.84,22.8,Mostly same class,-0.25,1,1,2
66,17,McComb High School,4A,3-1,65.6,-5,-1,0.7,36.5,29.0,9.8,83,42.89,20.1,Mostly same class,0.0,2,0,2
67,18,Clarksdale High School,4A,2-2,65.5,-29,-7,-6.9,76.1,27.8,26.2,82,42.91,28.3,Playing down,-0.333,1,0,2
75,19,Richland High School,4A,3-1,62.6,34,3,9.9,25.2,43.8,20.5,97,40.93,17.4,Mostly same class,-0.25,2,0,2
80,20,Houston High School,4A,1-4,61.2,1,-1,0.3,90.5,23.6,31.0,105,39.95,29.0,Playing up,0.8,3,1,1
92,21,Amory High School,4A,2-2,56.9,36,3,11.2,62.6,22.0,22.2,107,39.34,25.1,Playing up,0.75,3,0,1
109,22,Tishomingo County High School,4A,3-1,50.5,21,3,5.4,23.0,30.0,16.0,159,31.31,16.0,Playing down,-1.5,0,0,4
111,23,North Pontotoc High School,4A,2-2,50.2,-40,-6,-12.4,27.9,30.5,20.2,152,32.65,17.9,Playing down,-1.0,0,0,4
127,24,West Lauderdale High School,4A,1-3,45.5,21,7,6.9,71.2,20.2,31.8,145,34.13,27.3,Mostly same class,0.0,1,1,2
128,25,Newton County High School,4A,0-4,45.3,25,7,9.1,78.8,16.5,29.5,169,30.31,28.0,Playing down,-0.5,1,1,2
130,26,Forrest County Agricultural Hi Sch,4A,1-3,44.4,-15,-3,-5.1,59.0,17.2,21.0,175,29.74,22.1,Playing up,0.75,3,0,1
134,27,Choctaw Central,4A,2-2,43.5,-28,-6,-9.6,16.7,27.5,15.5,154,32.52,14.0,Playing down,-2.0,0,0,3
148,28,Rosa Fort High School,4A,2-2,39.5,-17,-2,-5.4,6.8,34.5,17.8,150,33.15,13.4,Playing down,-1.333,0,0,3
151,29,Ripley High School,4A,1-3,38.5,-9,1,-2.9,82.9,12.2,37.2,196,24.37,29.1,Playing up,0.75,2,1,1
161,30,Northeast Lauderdale High School,4A,1-3,33.3,-20,-1,-8.3,46.8,14.5,24.8,191,24.96,19.9,Playing down,-1.25,0,1,3
162,31,Mooreville High School,4A,2-2,33.1,-24,-3,-9.4,9.0,34.2,25.2,182,26.51,12.8,Playing down,-1.0,0,2,2
165,32,Gentry High School,4A,1-3,32.2,-29,-5,-11.3,50.9,10.0,23.2,209,21.02,19.8,Mostly same class,-0.25,1,0,3
171,33,Yazoo City High School,4A,0-3,30.7,13,4,1.8,56.8,8.7,27.0,205,21.66,22.0,Playing up,0.667,2,0,1
172,34,Moss Point High School,4A,0-4,30.6,0,0,-1.2,79.7,6.0,36.0,253,-1.28,27.0,Playing up,1.0,3,0,1
192,35,Raymond High School,4A,1-3,25.5,-16,0,-5.1,29.3,21.0,33.5,231,14.59,17.1,Playing down,-1.333,0,0,3
195,36,Lawrence County High School,4A,0-4,24.7,-33,-3,-9.1,44.6,13.8,30.2,243,7.17,21.9,Mostly same class,0.0,2,0,2
204,37,South Pontotoc High School,4A,0-4,18.0,-22,-1,-11.4,34.2,16.0,35.2,252,-1.26,16.6,Playing down,-1.75,0,1,3
205,38,Bay High School,4A,0-3,17.9,2,1,-0.1,42.8,8.0,35.7,256,-3.84,18.9,Playing up,0.5,1,0,1
212,39,Byhalia High School (9-12),4A,2-2,16.9,-20,-1,-8.6,0.9,17.5,19.2,257,-4.11,5.1,Playing down,-2.5,0,0,4
