state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
17,1,Pontotoc High School,5A,3-0,83.0,23,3,10.9,71.6,30.7,13.3,37,54.32,27.6,Playing down,-1.0,0,0,3
22,2,Natchez High School,5A,4-0,80.1,4,0,2.9,60.8,34.5,13.0,57,48.65,23.1,Playing down,-1.25,0,1,3
25,3,Brookhaven High School,5A,4-0,80.0,0,-2,1.9,55.9,37.2,16.5,18,61.99,24.1,Playing down,-0.5,1,0,3
29,4,Leake Central High School,5A,4-0,77.7,10,-1,5.4,53.2,40.8,15.0,87,42.68,20.5,Mostly same class,0.0,0,4,0
43,5,Lafayette High School,5A,4-0,71.7,0,0,0.8,26.6,60.8,20.8,43,51.02,16.7,Playing up,0.333,2,0,1
63,6,Caledonia High School,5A,2-2,66.3,5,3,3.6,76.6,20.5,22.5,52,49.29,32.0,Playing down,-1.0,0,0,3
68,7,Vancleave High School,5A,2-2,65.4,10,4,4.3,93.2,33.8,44.2,122,37.97,30.5,Mostly same class,-0.25,1,0,3
69,8,East Central High School,5A,1-3,64.7,32,8,9.3,92.8,13.8,23.0,102,40.62,31.2,Mostly same class,0.25,2,0,2
70,9,New Hope High School,5A,1-2,64.4,-8,-3,0.1,81.5,27.7,32.0,33,55.2,35.4,Playing down,-0.333,1,0,2
72,10,Laurel High School,5A,1-3,63.8,-2,0,1.2,95.9,30.5,45.2,59,47.8,37.1,Playing up,1.5,4,0,0
76,11,Wayne County High School,5A,1-3,62.3,15,2,4.4,70.3,26.5,22.5,99,40.76,25.6,Playing up,1.25,4,0,0
82,12,Lanier High School,5A,3-1,60.0,-19,-5,-4.1,47.3,25.0,13.8,132,36.17,16.4,Playing up,0.5,2,1,1
85,13,Vicksburg High School,5A,0-4,59.0,-18,-5,-3.9,100.0,14.8,33.2,116,38.57,36.8,Playing up,0.5,2,2,0
86,14,Cleveland Central High School,5A,0-0,58.8,16,3,4.0,50.0,0.0,0.0,46,50.86,28.4,No class data,0.0,0,0,0
87,15,Stone High School,5A,1-2,58.5,-1,-3,0.0,99.1,21.3,43.7,119,38.22,35.4,Playing up,0.667,2,0,1
94,16,West Point High School,5A,0-3,55.8,5,-1,-0.1,97.3,14.0,36.0,25,60.58,45.9,Playing down,-0.333,1,0,2
96,17,Sumrall High School,5A,4-0,55.6,-3,-3,-1.9,9.5,31.2,9.2,104,40.03,15.7,Playing down,-1.75,0,1,3
102,18,Florence High School,5A,0-4,52.3,35,3,9.3,93.7,16.8,32.8,101,40.63,33.8,Mostly same class,-0.25,1,0,3
119,19,South Jones High School,5A,2-2,48.8,36,4,13.0,49.1,25.5,25.8,148,33.48,20.4,Mostly same class,0.0,2,1,1
121,20,Holmes County Central High School,5A,2-2,47.9,6,0,2.0,64.9,29.8,37.5,156,32.26,22.9,Playing up,0.75,2,1,1
122,21,Purvis High School,5A,1-3,47.8,-18,-3,-6.2,68.9,21.5,29.8,167,30.37,25.1,Playing down,-1.0,1,1,2
133,22,Provine High School,5A,1-3,44.0,12,0,3.8,80.6,7.8,23.8,181,26.64,24.9,Mostly same class,0.25,2,1,1
135,23,Northeast Jones High School,5A,2-2,43.4,50,2,15.0,40.5,27.0,27.0,155,32.27,18.1,Mostly same class,-0.25,1,1,2
143,24,North Pike Senior High School,5A,1-3,41.0,-23,-5,-7.4,78.4,14.5,30.0,198,24.16,24.6,Playing down,-0.75,2,0,2
176,25,Columbus High School,5A,0-4,29.2,1,-1,-1.3,82.4,6.8,44.8,266,-10.71,30.8,Playing up,1.0,3,0,1
