state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
3,1,Warren Central High School,6A,4-0,92.2,1,0,2.9,89.2,40.5,19.0,8,73.18,33.1,Playing up,0.5,3,0,1
11,2,South Panola High School,6A,1-2,85.6,20,4,10.2,94.1,24.3,16.3,16,64.09,37.1,Mostly same class,0.0,2,0,1
20,3,Gautier High School,6A,3-1,82.0,-2,1,0.1,82.0,39.2,25.2,39,52.91,28.9,Mostly same class,0.0,2,1,1
21,4,Grenada High,6A,3-0,80.8,28,7,11.8,50.0,37.0,11.3,26,60.46,23.6,Playing down,-1.0,0,1,1
33,5,Neshoba Central High School,6A,2-2,76.6,-6,0,0.2,92.3,34.2,34.2,34,55.2,36.5,Playing down,-0.5,2,0,2
35,6,Hattiesburg High School,6A,2-2,74.3,9,3,3.8,85.1,25.2,24.8,28,57.84,37.8,Playing up,0.5,3,0,1
38,7,Pearl River Central High School,6A,3-1,73.6,28,8,10.2,79.3,30.2,26.5,73,44.66,28.8,Playing down,-1.333,0,0,3
40,8,Lake Cormorant High,6A,4-0,72.8,1,0,1.4,41.4,25.0,5.2,21,61.18,22.1,Playing up,0.333,2,0,1
45,9,Terry High School,6A,2-2,71.3,-30,-6,-12.2,64.0,36.2,18.5,100,40.7,21.9,Mostly same class,0.0,1,2,1
47,10,Canton Public High School,6A,4-0,71.2,-36,-8,-14.0,47.7,41.5,21.2,80,43.51,18.4,Playing down,-0.75,1,2,1
48,11,Center Hill High School,6A,3-1,71.2,-1,-1,1.5,57.2,30.0,18.8,56,48.94,27.3,Playing up,1.0,2,0,0
51,12,Ridgeland High School,6A,3-1,70.1,-16,-5,-3.0,51.4,32.2,17.5,78,44.1,21.0,Playing down,-1.5,0,0,4
55,13,George County High School,6A,2-2,68.8,34,3,10.6,85.6,30.2,33.2,94,41.46,29.4,Playing down,-1.0,0,1,3
64,14,Olive Branch High School,6A,2-2,66.1,-13,-2,-2.6,80.2,26.5,29.5,67,45.48,31.3,Playing down,-0.5,2,0,2
65,15,Picayune Memorial High School,6A,2-2,65.9,29,2,9.1,84.7,22.2,31.0,30,57.46,40.0,Playing up,1.0,3,0,0
71,16,West Jones High School,6A,3-1,64.2,37,2,11.4,45.9,34.5,24.8,96,40.94,20.6,Playing down,-1.0,0,0,4
73,17,Pascagoula High School,6A,2-2,63.5,-8,-3,0.1,64.4,18.2,13.5,70,45.38,28.7,Mostly same class,0.25,3,0,1
83,18,Hancock High School,6A,1-3,59.8,-19,-5,-3.7,96.4,26.8,40.5,143,34.43,32.3,Mostly same class,-0.25,2,0,2
104,19,Greenville High School,6A,2-2,51.6,8,0,0.3,43.7,21.5,16.5,164,30.47,21.3,Playing down,-2.5,0,0,4
112,20,Callaway High School,6A,2-2,50.2,40,1,13.7,74.3,12.5,20.5,151,32.69,24.1,Mostly same class,0.25,1,3,0
115,21,Long Beach Senior High School,6A,3-1,49.2,3,-1,0.7,46.4,19.5,21.0,149,33.42,19.7,Playing down,-1.75,0,0,4
155,22,Saltillo High School,6A,0-4,36.4,14,0,3.8,91.4,14.0,49.0,250,-0.8,33.9,Playing down,-1.75,0,0,4
164,23,Forest Hill High School,6A,0-4,32.4,40,1,13.1,74.8,6.2,31.0,236,12.87,24.6,Playing down,-1.25,0,2,2
200,24,Jim Hill High School,6A,1-3,19.4,-27,-1,-12.0,27.0,10.5,26.2,251,-0.89,13.5,Playing down,-2.0,0,0,4
