state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
1,1,Tupelo High School,7A,4-0,96.2,0,0,3.0,89.6,46.2,12.8,1,91.26,40.9,Playing down,-1.0,0,2,1
2,2,Diberville Senior High Sch,7A,4-0,94.3,0,0,1.7,90.1,33.0,8.2,2,77.68,34.4,Playing down,-2.5,0,0,4
4,3,Starkville High School,7A,4-0,91.9,-1,0,-0.4,88.3,31.2,15.8,5,76.7,41.6,Playing down,-1.25,0,2,2
5,4,Gulfport High School,7A,2-1,90.9,1,1,3.3,77.9,41.7,13.3,4,77.07,36.9,Playing down,-1.0,0,1,2
6,5,Germantown High School,7A,2-2,88.8,3,2,2.9,98.6,42.0,32.0,9,72.96,42.4,Playing down,-0.5,0,2,2
7,6,Brandon High School,7A,3-1,88.5,6,3,4.6,98.2,29.2,25.5,7,73.35,44.7,Mostly same class,0.0,0,3,0
9,7,Oak Grove High School,7A,2-1,87.8,-4,-3,0.0,99.5,26.3,20.7,6,73.92,45.0,Playing down,-0.333,0,2,1
10,8,St. Martin High School,7A,4-0,86.3,2,0,2.1,65.3,46.0,10.5,27,60.45,23.2,Playing down,-1.75,0,0,4
12,9,Oxford High School,7A,3-1,85.1,-5,-3,-2.2,97.7,26.5,26.2,12,72.24,42.0,Playing down,-1.0,0,1,2
14,10,Petal High School,7A,4-0,84.4,9,2,5.1,83.8,38.0,29.8,3,77.14,38.1,Playing down,-1.0,0,2,2
16,11,Desoto Central High School,7A,2-1,83.2,14,3,7.7,86.0,27.3,17.7,22,61.17,32.8,Playing down,-1.0,0,0,2
19,12,Northwest Rankin High School,7A,2-2,82.1,5,1,3.3,95.5,30.8,30.8,20,61.34,37.5,Playing down,-0.5,0,3,1
23,13,Madison Central High School,7A,2-2,80.1,-1,-2,0.7,95.0,26.8,26.5,19,61.99,38.4,Playing down,-0.5,0,3,1
27,14,Clinton High School,7A,1-3,79.3,25,3,10.7,96.8,29.2,30.5,29,57.75,40.3,Mostly same class,-0.25,0,3,1
28,15,Hernando High School,7A,3-1,77.8,4,0,3.5,53.6,50.8,25.5,36,54.51,24.8,Playing down,-2.0,0,0,2
32,16,West Harrison High School,7A,2-2,77.0,14,0,7.2,94.6,31.0,33.2,35,55.14,34.8,Playing down,-2.25,0,0,4
36,17,Meridian High School,7A,2-2,73.7,-15,-7,-6.8,58.6,37.2,24.0,32,57.29,30.6,Playing down,-0.75,0,2,2
74,18,Pearl High School,7A,1-3,63.5,-20,0,-4.5,91.9,13.8,24.5,91,42.09,37.0,Playing down,-0.75,0,2,2
84,19,Southaven High School,7A,1-2,59.6,-29,0,-8.2,73.9,16.0,18.0,74,44.55,28.5,Playing down,-3.0,0,0,2
88,20,Lewisburg High School,7A,2-2,57.9,-8,2,-3.0,61.7,33.2,33.2,135,35.92,25.0,Playing down,-2.0,0,0,3
91,21,Biloxi High School,7A,1-3,57.1,-4,3,-1.3,68.5,19.2,22.5,69,45.41,31.7,Playing down,-1.25,0,0,4
99,22,Horn Lake High,7A,0-4,53.7,-3,3,-2.9,88.7,8.8,23.0,109,39.15,34.0,Playing down,-1.0,0,0,3
103,23,Harrison Central High School,7A,1-2,51.8,-26,-2,-9.6,40.1,20.0,15.7,133,36.13,17.4,Playing down,-2.333,0,0,3
107,24,Murrah High School,7A,1-3,51.3,-33,-4,-10.8,77.5,24.0,35.2,173,29.85,25.1,Playing down,-1.25,0,0,4
120,25,Ocean Springs High School,7A,1-3,48.6,-38,-2,-11.8,83.3,15.5,35.0,60,46.89,36.9,Playing down,-0.5,0,2,2
