state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
1,1,Tupelo High School,7A,4-0,96.2,0,0,3.0,89.6,46.2,12.8,1,91.26,40.9,Playing down,-1.0,0,2,1
2,2,Diberville Senior High Sch,7A,4-0,94.3,0,0,1.7,90.1,33.0,8.2,2,77.68,34.4,Playing down,-2.5,0,0,4
3,1,Warren Central High School,6A,4-0,92.2,1,0,2.9,89.2,40.5,19.0,8,73.18,33.1,Playing up,0.5,3,0,1
4,3,Starkville High School,7A,4-0,91.9,-1,0,-0.4,88.3,31.2,15.8,5,76.7,41.6,Playing down,-1.25,0,2,2
5,4,Gulfport High School,7A,2-1,90.9,1,1,3.3,77.9,41.7,13.3,4,77.07,36.9,Playing down,-1.0,0,1,2
6,5,Germantown High School,7A,2-2,88.8,3,2,2.9,98.6,42.0,32.0,9,72.96,42.4,Playing down,-0.5,0,2,2
7,6,Brandon High School,7A,3-1,88.5,6,3,4.6,98.2,29.2,25.5,7,73.35,44.7,Mostly same class,0.0,0,3,0
8,1,Poplarville Jr Sr High School,4A,4-0,88.0,0,0,1.5,77.0,39.8,15.0,24,60.65,27.1,Playing up,2.0,4,0,0
9,7,Oak Grove High School,7A,2-1,87.8,-4,-3,0.0,99.5,26.3,20.7,6,73.92,45.0,Playing down,-0.333,0,2,1
10,8,St. Martin High School,7A,4-0,86.3,2,0,2.1,65.3,46.0,10.5,27,60.45,23.2,Playing down,-1.75,0,0,4
11,2,South Panola High School,6A,1-2,85.6,20,4,10.2,94.1,24.3,16.3,16,64.09,37.1,Mostly same class,0.0,2,0,1
12,9,Oxford High School,7A,3-1,85.1,-5,-3,-2.2,97.7,26.5,26.2,12,72.24,42.0,Playing down,-1.0,0,1,2
13,2,Kosciusko Senior High School,4A,4-0,84.7,4,3,2.1,81.1,51.5,34.0,23,61.12,30.9,Playing up,2.0,4,0,0
14,10,Petal High School,7A,4-0,84.4,9,2,5.1,83.8,38.0,29.8,3,77.14,38.1,Playing down,-1.0,0,2,2
15,3,Senatobia High School,4A,4-0,83.8,-5,-1,-1.6,62.2,34.8,10.8,38,54.11,26.2,Playing down,-1.333,0,1,2
16,11,Desoto Central High School,7A,2-1,83.2,14,3,7.7,86.0,27.3,17.7,22,61.17,32.8,Playing down,-1.0,0,0,2
17,1,Pontotoc High School,5A,3-0,83.0,23,3,10.9,71.6,30.7,13.3,37,54.32,27.6,Playing down,-1.0,0,0,3
18,4,Louisville High School,4A,2-2,82.6,1,2,1.0,87.8,21.8,13.8,13,72.2,43.0,Playing up,1.333,2,1,0
19,12,Northwest Rankin High School,7A,2-2,82.1,5,1,3.3,95.5,30.8,30.8,20,61.34,37.5,Playing down,-0.5,0,3,1
20,3,Gautier High School,6A,3-1,82.0,-2,1,0.1,82.0,39.2,25.2,39,52.91,28.9,Mostly same class,0.0,2,1,1
21,4,Grenada High,6A,3-0,80.8,28,7,11.8,50.0,37.0,11.3,26,60.46,23.6,Playing down,-1.0,0,1,1
22,2,Natchez High School,5A,4-0,80.1,4,0,2.9,60.8,34.5,13.0,57,48.65,23.1,Playing down,-1.25,0,1,3
23,13,Madison Central High School,7A,2-2,80.1,-1,-2,0.7,95.0,26.8,26.5,19,61.99,38.4,Playing down,-0.5,0,3,1
24,5,Mendenhall High School,4A,4-0,80.0,-10,-2,-3.8,72.5,40.0,25.5,44,50.99,25.8,Playing up,0.5,2,1,1
25,3,Brookhaven High School,5A,4-0,80.0,0,-2,1.9,55.9,37.2,16.5,18,61.99,24.1,Playing down,-0.5,1,0,3
26,6,Pass Christian High School,4A,4-0,79.8,-10,-2,-3.5,55.0,48.0,18.5,50,49.92,22.9,Mostly same class,0.25,2,0,2
27,14,Clinton High School,7A,1-3,79.3,25,3,10.7,96.8,29.2,30.5,29,57.75,40.3,Mostly same class,-0.25,0,3,1
28,15,Hernando High School,7A,3-1,77.8,4,0,3.5,53.6,50.8,25.5,36,54.51,24.8,Playing down,-2.0,0,0,2
29,4,Leake Central High School,5A,4-0,77.7,10,-1,5.4,53.2,40.8,15.0,87,42.68,20.5,Mostly same class,0.0,0,4,0
30,7,Itawamba Agricultural High School,4A,3-0,77.4,-10,0,-4.1,49.5,39.3,15.0,45,50.97,24.8,Playing up,1.0,2,1,0
31,1,Leflore County High School,1A,4-0,77.1,22,0,9.1,63.5,27.5,8.5,62,46.7,24.1,Mostly same class,0.0,0,3,0
32,16,West Harrison High School,7A,2-2,77.0,14,0,7.2,94.6,31.0,33.2,35,55.14,34.8,Playing down,-2.25,0,0,4
33,5,Neshoba Central High School,6A,2-2,76.6,-6,0,0.2,92.3,34.2,34.2,34,55.2,36.5,Playing down,-0.5,2,0,2
34,1,Noxubee County High School,3A,4-0,76.4,-6,0,-0.0,66.7,39.8,29.0,17,62.44,34.4,Mostly same class,0.25,2,0,2
35,6,Hattiesburg High School,6A,2-2,74.3,9,3,3.8,85.1,25.2,24.8,28,57.84,37.8,Playing up,0.5,3,0,1
36,17,Meridian High School,7A,2-2,73.7,-15,-7,-6.8,58.6,37.2,24.0,32,57.29,30.6,Playing down,-0.75,0,2,2
37,8,Greene County High School,4A,4-0,73.7,8,4,3.4,67.1,33.0,21.2,77,44.26,23.8,Playing up,0.5,3,0,1
38,7,Pearl River Central High School,6A,3-1,73.6,28,8,10.2,79.3,30.2,26.5,73,44.66,28.8,Playing down,-1.333,0,0,3
39,9,Corinth High School,4A,2-2,72.9,-2,1,0.1,87.4,20.0,20.0,54,49.25,33.7,Playing up,0.5,2,2,0
40,8,Lake Cormorant High,6A,4-0,72.8,1,0,1.4,41.4,25.0,5.2,21,61.18,22.1,Playing up,0.333,2,0,1
41,2,Raleigh High School,3A,3-1,72.1,43,7,12.9,48.6,33.2,14.0,49,49.97,23.7,Playing up,0.5,2,0,2
42,2,Simmons High School,1A,2-1,71.9,84,2,25.6,59.5,27.3,10.7,68,45.41,22.9,Playing up,1.333,2,1,0
43,5,Lafayette High School,5A,4-0,71.7,0,0,0.8,26.6,60.8,20.8,43,51.02,16.7,Playing up,0.333,2,0,1
44,10,New Albany High School,4A,2-1,71.6,-11,-2,-2.6,67.6,27.3,18.3,53,49.26,27.0,Playing up,1.0,2,1,0
45,9,Terry High School,6A,2-2,71.3,-30,-6,-12.2,64.0,36.2,18.5,100,40.7,21.9,Mostly same class,0.0,1,2,1
46,3,Seminary High School,3A,3-1,71.3,23,3,8.6,65.8,31.2,20.2,63,46.56,27.0,Playing up,1.0,2,1,1
47,10,Canton Public High School,6A,4-0,71.2,-36,-8,-14.0,47.7,41.5,21.2,80,43.51,18.4,Playing down,-0.75,1,2,1
48,11,Center Hill High School,6A,3-1,71.2,-1,-1,1.5,57.2,30.0,18.8,56,48.94,27.3,Playing up,1.0,2,0,0
49,4,Presbyterian Christian School,3A,2-2,70.4,-20,-2,-5.3,75.7,28.2,24.0,64,46.04,30.1,Mostly same class,0.0,1,1,1
50,5,Winona Secondary School,3A,4-0,70.3,0,0,1.4,19.4,46.2,9.8,40,52.23,16.5,Playing up,0.5,2,0,2
51,12,Ridgeland High School,6A,3-1,70.1,-16,-5,-3.0,51.4,32.2,17.5,78,44.1,21.0,Playing down,-1.5,0,0,4
52,11,Shannon High School,4A,2-2,69.8,-4,2,0.2,66.2,28.0,21.0,42,51.27,31.4,Playing down,-0.5,1,1,2
53,6,Booneville High School,3A,4-0,69.5,-19,-3,-4.0,25.7,43.2,14.8,61,46.74,19.5,Playing down,-0.5,1,1,2
54,12,Columbia High School,4A,2-2,69.2,2,2,1.7,57.7,33.5,24.0,41,52.12,30.8,Playing up,0.333,1,0,2
55,13,George County High School,6A,2-2,68.8,34,3,10.6,85.6,30.2,33.2,94,41.46,29.4,Playing down,-1.0,0,1,3
56,13,Morton High School,4A,4-0,68.7,19,5,6.8,54.1,36.0,24.0,76,44.34,22.8,Playing down,-0.5,0,3,1
57,14,Greenwood High School,4A,1-3,68.7,-21,-5,-4.2,86.9,12.8,13.5,85,42.82,29.0,Playing up,0.333,1,1,1
58,7,Hazlehurst High School,3A,2-1,68.1,32,3,10.1,73.4,29.3,20.0,103,40.1,24.5,Playing up,0.667,2,0,1
59,8,Thomas E. Edwards,3A,4-0,67.9,-17,-4,-3.5,36.9,27.8,6.0,84,42.82,17.0,Playing up,0.75,3,0,1
60,15,South Pike Senior High School,4A,1-2,67.2,-2,0,1.4,91.0,30.7,34.7,128,36.89,31.7,Playing down,-0.333,1,1,1
61,1,East Webster High School,2A,4-0,67.2,-1,2,2.1,18.5,34.0,6.8,55,49.25,19.7,Mostly same class,0.25,2,0,2
62,16,Forest High School,4A,3-1,66.6,30,4,9.0,52.7,30.0,19.0,92,41.84,22.8,Mostly same class,-0.25,1,1,2
63,6,Caledonia High School,5A,2-2,66.3,5,3,3.6,76.6,20.5,22.5,52,49.29,32.0,Playing down,-1.0,0,0,3
64,14,Olive Branch High School,6A,2-2,66.1,-13,-2,-2.6,80.2,26.5,29.5,67,45.48,31.3,Playing down,-0.5,2,0,2
65,15,Picayune Memorial High School,6A,2-2,65.9,29,2,9.1,84.7,22.2,31.0,30,57.46,40.0,Playing up,1.0,3,0,0
