state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
34,1,Noxubee County High School,3A,4-0,76.4,-6,0,-0.0,66.7,39.8,29.0,17,62.44,34.4,Mostly same class,0.25,2,0,2
41,2,Raleigh High School,3A,3-1,72.1,43,7,12.9,48.6,33.2,14.0,49,49.97,23.7,Playing up,0.5,2,0,2
46,3,Seminary High School,3A,3-1,71.3,23,3,8.6,65.8,31.2,20.2,63,46.56,27.0,Playing up,1.0,2,1,1
49,4,Presbyterian Christian School,3A,2-2,70.4,-20,-2,-5.3,75.7,28.2,24.0,64,46.04,30.1,Mostly same class,0.0,1,1,1
50,5,Winona Secondary School,3A,4-0,70.3,0,0,1.4,19.4,46.2,9.8,40,52.23,16.5,Playing up,0.5,2,0,2
53,6,Booneville High School,3A,4-0,69.5,-19,-3,-4.0,25.7,43.2,14.8,61,46.74,19.5,Playing down,-0.5,1,1,2
58,7,Hazlehurst High School,3A,2-1,68.1,32,3,10.1,73.4,29.3,20.0,103,40.1,24.5,Playing up,0.667,2,0,1
59,8,Thomas E. Edwards,3A,4-0,67.9,-17,-4,-3.5,36.9,27.8,6.0,84,42.82,17.0,Playing up,0.75,3,0,1
101,9,Choctaw County High School,3A,1-3,53.2,-6,2,-3.3,68.0,27.0,30.2,81,42.94,29.7,Mostly same class,0.25,2,0,2
105,10,Independence High School,3A,3-1,51.5,-22,-2,-8.7,41.0,22.5,18.8,153,32.53,18.6,Mostly same class,-0.25,2,0,2
110,11,O’Bannon High School,3A,4-0,50.4,-12,1,-6.0,0.0,43.2,7.5,131,36.18,0.1,Playing down,-1.75,0,0,4
113,12,Belmont School,3A,1-2,49.8,-2,3,-1.9,45.0,20.3,15.0,172,30.23,17.1,Mostly same class,0.0,1,0,1
114,13,Port Gibson High School,3A,2-2,49.5,-42,-6,-12.6,61.3,24.5,26.2,177,28.74,21.1,Playing up,1.0,3,0,1
117,14,Magee High School,3A,3-1,49.0,-17,-1,-6.6,16.2,37.0,18.8,114,38.61,16.0,Playing down,-0.75,1,0,3
