state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
61,1,East Webster High School,2A,4-0,67.2,-1,2,2.1,18.5,34.0,6.8,55,49.25,19.7,Mostly same class,0.25,2,0,2
77,2,Heidelberg High School,2A,2-1,62.3,-1,2,0.6,10.4,48.7,11.7,47,50.8,19.3,Playing up,0.333,2,0,1
78,3,Eupora High School,2A,4-0,61.3,35,9,11.4,31.1,27.5,9.0,88,42.4,15.3,Playing down,-0.5,0,2,2
79,4,Baldwyn High School,2A,3-1,61.3,24,5,7.2,45.5,27.8,17.2,93,41.46,20.3,Playing up,1.25,4,0,0
81,5,Amite County High School,2A,4-0,61.1,-22,-3,-4.7,1.4,43.0,0.0,79,43.6,7.1,Playing down,-1.0,0,0,4
89,6,Scott Central Attendance Center,2A,3-1,57.6,-32,-5,-9.3,36.0,29.5,17.8,110,39.02,18.1,Playing up,1.75,4,0,0
93,7,Water Valley High School,2A,2-2,56.5,-14,-2,-4.5,38.3,29.5,15.8,134,35.93,18.3,Playing up,0.5,2,1,1
95,8,Clarkdale High School,2A,4-0,55.6,-7,-1,-2.8,19.8,29.8,10.8,108,39.34,13.9,Playing down,-0.75,0,1,3
97,9,Enterprise (Clarke),2A,4-0,54.5,-12,-3,-4.4,23.9,32.0,17.8,125,37.82,14.2,Mostly same class,0.25,2,1,1
98,10,Lake High School,2A,2-1,53.8,46,10,13.2,60.4,28.0,26.0,126,37.68,22.1,Playing up,1.0,2,0,1
100,11,Wesson Attendance Center,2A,4-0,53.6,-3,-3,-2.9,9.9,27.8,7.0,106,39.93,12.8,Playing up,0.5,2,0,2
106,12,East Marion High School,2A,3-1,51.3,4,-1,-1.2,5.4,37.8,11.8,118,38.47,11.3,Playing up,1.0,4,0,0
108,13,Kemper County High School,2A,3-1,50.6,13,3,2.4,28.8,39.0,34.2,86,42.8,25.2,Playing up,1.0,3,0,0
116,14,Perry Central High School,2A,1-3,49.1,7,3,1.6,72.1,23.0,27.5,160,30.98,24.5,Playing up,1.25,3,1,0
