state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
1,1,Tupelo High School,7A,2-0,92.2,0,0,5.9,73.9,43.5,10.5,1,91.53,38.0,Mostly same class,0.0,0,1,0
2,1,Poplarville Jr Sr High School,4A,2-0,89.5,9,0,10.9,70.7,41.0,3.5,21,63.14,27.1,Playing up,2.0,2,0,0
3,2,Starkville High School,7A,2-0,88.1,3,4,4.9,73.4,31.5,11.5,3,80.74,41.5,Playing down,-1.0,0,1,1
4,3,Diberville Senior High Sch,7A,2-0,87.7,14,9,13.7,77.5,28.0,10.0,9,73.28,30.4,Playing down,-2.5,0,0,2
5,4,Germantown High School,7A,1-1,86.6,-2,-1,2.8,86.0,42.5,27.5,5,77.91,41.0,Mostly same class,0.0,0,2,0
6,5,Oxford High School,7A,2-0,86.2,9,6,11.0,89.2,25.5,17.0,7,74.08,34.1,Playing down,-1.0,0,0,1
7,1,Terry High School,6A,1-1,85.9,9,3,11.4,95.9,47.5,26.5,73,49.43,26.7,Playing up,0.5,1,1,0
8,2,Canton Public High School,6A,2-0,85.3,45,9,21.1,83.8,51.5,30.0,53,53.31,25.5,Playing down,-2.0,0,1,1
9,3,Warren Central High School,6A,2-0,84.2,-2,-2,2.3,68.5,37.5,19.0,8,73.69,30.8,Playing up,1.0,2,0,0
10,6,Oak Grove High School,7A,1-1,84.1,0,2,5.5,100.0,21.5,21.0,6,77.5,47.2,Mostly same class,0.0,0,2,0
11,2,Pass Christian High School,4A,2-0,83.1,20,4,13.6,58.6,51.5,11.0,48,54.43,20.5,Playing up,1.5,2,0,0
12,3,Mendenhall High School,4A,2-0,82.1,11,-1,9.9,76.1,40.5,21.0,47,54.45,24.4,Playing up,0.5,1,0,1
13,4,Pascagoula High School,6A,2-0,81.7,15,4,11.4,63.5,30.5,4.0,26,60.47,22.1,Playing down,-0.5,1,0,1
14,7,Petal High School,7A,2-0,80.8,-6,0,1.7,65.3,39.0,27.5,16,70.53,32.7,Playing down,-0.5,0,1,1
15,8,Biloxi High School,7A,1-1,80.7,-3,1,2.2,90.1,21.5,18.0,27,60.45,31.8,Playing down,-1.5,0,0,2
16,5,Grenada High,6A,1-0,80.0,38,7,16.0,37.8,50.0,8.0,20,63.2,20.2,Playing down,-2.0,0,0,1
17,4,Kosciusko Senior High School,4A,2-0,79.4,10,0,9.0,59.0,50.5,25.5,33,58.46,22.9,Playing up,1.5,2,0,0
18,9,Brandon High School,7A,1-1,79.3,16,9,10.0,99.1,23.5,30.5,11,72.85,46.3,Mostly same class,0.0,0,2,0
19,6,Lake Cormorant High,6A,2-0,79.1,25,3,12.6,72.5,20.5,7.5,24,60.62,26.4,Playing up,1.0,1,0,0
20,10,St. Martin High School,7A,2-0,79.1,0,4,6.1,45.9,45.0,7.0,44,55.46,16.5,Playing down,-2.0,0,0,2
21,5,Itawamba Agricultural High School,4A,2-0,78.9,24,4,12.5,64.4,31.5,12.0,45,55.35,25.6,Playing up,0.5,1,1,0
22,11,Gulfport High School,7A,1-0,78.9,-17,-6,-4.6,21.2,35.0,0.0,2,80.79,31.6,Playing down,-1.0,0,0,1
23,12,Meridian High School,7A,1-1,78.8,-21,-10,-6.3,61.7,37.5,22.5,37,57.35,30.9,Playing down,-0.5,0,1,1
24,6,Louisville High School,4A,2-0,77.8,0,-3,5.9,46.8,24.5,3.0,12,72.64,33.3,Playing up,0.5,1,1,0
25,7,Gautier High School,6A,1-1,77.6,1,0,6.6,95.0,38.5,35.0,64,50.48,32.6,Playing up,0.5,1,1,0
26,8,Neshoba Central High School,6A,1-1,77.5,41,9,18.2,98.2,35.5,41.5,35,57.73,37.1,Playing down,-0.5,1,0,1
27,9,Hattiesburg High School,6A,1-1,77.0,-10,-4,2.8,91.9,30.5,30.0,28,60.41,35.5,Mostly same class,0.0,1,0,1
28,1,Laurel High School,5A,1-1,76.2,2,0,6.7,82.0,40.5,34.5,38,57.14,27.8,Playing up,1.0,2,0,0
29,13,Desoto Central High School,7A,1-1,75.6,-16,-3,-2.8,88.7,16.5,19.5,25,60.6,35.5,Playing down,-1.0,0,0,2
30,14,Madison Central High School,7A,1-1,74.9,-26,-10,-8.7,77.0,20.0,20.0,15,70.88,36.1,Mostly same class,0.0,0,2,0
31,1,Port Gibson High School,3A,2-0,74.3,66,6,21.3,62.8,36.0,11.0,96,45.3,13.7,Playing up,2.0,2,0,0
32,10,South Panola High School,6A,0-2,74.0,-18,-7,-1.4,92.3,17.5,21.5,19,64.16,38.4,Playing up,1.0,2,0,0
33,15,Northwest Rankin High School,7A,1-1,73.3,7,5,6.2,91.4,35.5,47.0,18,66.62,39.1,Mostly same class,0.0,0,2,0
34,16,West Harrison High School,7A,1-1,72.9,45,8,16.0,93.2,22.0,29.5,31,59.54,33.0,Playing down,-3.0,0,0,2
35,7,Tishomingo County High School,4A,2-0,71.9,65,16,19.3,32.0,41.5,8.5,80,48.04,17.5,Playing down,-2.0,0,0,2
36,2,Pontotoc High School,5A,2-0,71.6,3,2,4.0,41.4,37.5,13.0,65,50.31,14.0,Playing down,-1.0,0,0,2
37,11,Pearl River Central High School,6A,2-0,70.6,11,-1,4.8,66.7,35.0,27.5,88,45.99,19.4,Playing down,-1.0,0,0,1
38,8,Senatobia High School,4A,2-0,70.5,40,9,13.4,57.7,27.5,17.5,55,52.4,24.9,Mostly same class,0.0,0,1,0
39,3,Natchez High School,5A,2-0,70.5,17,7,7.6,67.1,30.0,19.0,99,45.14,17.1,Playing down,-0.5,0,1,1
40,12,Center Hill High School,6A,2-0,70.0,-31,-10,-8.6,25.7,33.0,11.0,58,51.69,22.3,Playing up,1.0,1,0,0
41,9,Corinth High School,4A,1-1,69.9,0,-1,2.8,83.3,21.0,21.0,46,55.28,33.5,Playing up,0.5,1,1,0
42,4,Wayne County High School,5A,1-1,69.7,22,8,9.1,55.4,35.5,14.0,89,45.98,14.7,Playing up,1.0,2,0,0
43,5,Brookhaven High School,5A,2-0,69.3,0,1,2.6,22.5,38.5,7.0,56,51.88,12.2,Playing down,-1.5,0,0,2
44,2,Booneville High School,3A,2-0,68.8,57,6,16.6,40.5,38.5,16.5,79,48.68,19.5,Mostly same class,0.0,1,0,1
45,17,Clinton High School,7A,0-2,68.4,-24,-2,-4.3,87.8,29.0,39.5,22,63.12,39.7,Playing down,-0.5,0,1,1
46,3,Independence High School,3A,2-0,68.3,95,18,25.7,54.5,27.5,10.0,104,43.29,16.9,Mostly same class,0.0,1,0,1
47,4,Noxubee County High School,3A,2-0,68.3,58,6,17.3,44.8,41.0,27.0,30,60.2,27.4,Playing down,-1.0,0,0,2
48,18,Southaven High School,7A,1-1,67.9,24,5,9.5,52.3,24.0,10.5,70,50.05,19.4,Playing down,-3.0,0,0,2
49,6,Lafayette High School,5A,2-0,66.9,-7,-1,0.1,6.8,64.5,14.0,61,51.11,14.3,Playing up,1.0,1,0,0
