state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
28,1,Laurel High School,5A,1-1,76.2,2,0,6.7,82.0,40.5,34.5,38,57.14,27.8,Playing up,1.0,2,0,0
36,2,Pontotoc High School,5A,2-0,71.6,3,2,4.0,41.4,37.5,13.0,65,50.31,14.0,Playing down,-1.0,0,0,2
39,3,Natchez High School,5A,2-0,70.5,17,7,7.6,67.1,30.0,19.0,99,45.14,17.1,Playing down,-0.5,0,1,1
42,4,Wayne County High School,5A,1-1,69.7,22,8,9.1,55.4,35.5,14.0,89,45.98,14.7,Playing up,1.0,2,0,0
43,5,Brookhaven High School,5A,2-0,69.3,0,1,2.6,22.5,38.5,7.0,56,51.88,12.2,Playing down,-1.5,0,0,2
49,6,Lafayette High School,5A,2-0,66.9,-7,-1,0.1,6.8,64.5,14.0,61,51.11,14.3,Playing up,1.0,1,0,0
56,7,Holmes County Central High School,5A,1-1,65.7,-4,2,1.4,74.8,25.5,27.5,50,53.37,24.7,Playing up,0.5,1,0,1
60,8,Lanier High School,5A,2-0,63.7,-28,-6,-5.7,47.3,22.0,10.0,102,43.6,14.2,Playing up,0.5,1,0,1
61,9,Leake Central High School,5A,2-0,63.6,-24,-6,-4.5,26.1,34.5,9.0,139,38.61,10.3,Mostly same class,0.0,0,2,0
67,10,New Hope High School,5A,1-1,62.6,4,4,3.9,44.1,34.0,29.0,34,57.9,29.5,Playing down,-1.5,0,0,2
75,11,Sumrall High School,5A,2-0,60.5,-17,0,-1.6,13.1,30.5,7.0,77,48.71,16.9,Playing down,-2.5,0,0,2
82,12,Stone High School,5A,1-1,59.6,-36,-5,-6.7,96.4,25.0,43.0,94,45.62,30.4,Mostly same class,0.0,1,0,1
84,13,Purvis High School,5A,1-1,58.4,14,5,5.5,81.1,23.0,34.5,123,41.06,25.5,Playing down,-2.5,0,0,2
86,14,Cleveland Central High School,5A,0-0,58.2,-20,-1,-1.6,50.0,0.0,0.0,51,53.32,21.4,No class data,0.0,0,0,0
95,15,West Point High School,5A,0-2,55.3,-18,0,-2.2,98.6,7.0,33.5,14,72.42,47.1,Playing up,0.5,1,0,1
98,16,Vancleave High School,5A,1-1,54.9,26,6,8.4,94.1,31.5,51.0,154,35.06,25.6,Playing up,0.5,1,0,1
99,17,Vicksburg High School,5A,0-2,54.8,-8,-1,-0.2,92.8,16.0,27.0,174,31.12,22.4,Mostly same class,0.0,0,2,0
104,18,East Central High School,5A,0-2,52.4,6,3,2.1,97.7,6.5,27.5,160,32.99,28.9,Playing up,0.5,1,0,1
114,19,Caledonia High School,5A,1-1,49.3,26,4,6.4,55.9,18.5,24.5,138,39.27,21.6,Playing down,-1.0,0,0,2
132,20,Florence High School,5A,0-2,44.6,-23,0,-6.0,82.9,18.5,38.5,170,31.46,29.2,Playing down,-1.0,0,0,2
135,21,North Pike Senior High School,5A,1-1,43.8,-41,-4,-9.9,51.4,15.5,20.5,184,29.47,19.2,Playing down,-2.5,0,0,2
152,22,South Jones High School,5A,1-1,38.5,-101,-14,-26.4,50.5,28.0,35.5,199,27.46,13.8,Playing up,0.5,1,1,0
171,23,Northeast Jones High School,5A,0-2,33.6,-72,-4,-19.3,69.4,18.5,35.5,237,19.7,16.8,Playing up,0.5,1,1,0
172,24,Provine High School,5A,0-2,33.5,-28,0,-7.5,89.6,0.0,35.0,242,17.86,23.9,Playing up,0.5,1,1,0
186,25,Columbus High School,5A,0-2,30.0,-26,0,-8.9,82.4,6.0,43.5,245,16.42,21.2,Playing up,0.5,1,0,1
