state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
7,1,Terry High School,6A,1-1,85.9,9,3,11.4,95.9,47.5,26.5,73,49.43,26.7,Playing up,0.5,1,1,0
8,2,Canton Public High School,6A,2-0,85.3,45,9,21.1,83.8,51.5,30.0,53,53.31,25.5,Playing down,-2.0,0,1,1
9,3,Warren Central High School,6A,2-0,84.2,-2,-2,2.3,68.5,37.5,19.0,8,73.69,30.8,Playing up,1.0,2,0,0
13,4,Pascagoula High School,6A,2-0,81.7,15,4,11.4,63.5,30.5,4.0,26,60.47,22.1,Playing down,-0.5,1,0,1
16,5,Grenada High,6A,1-0,80.0,38,7,16.0,37.8,50.0,8.0,20,63.2,20.2,Playing down,-2.0,0,0,1
19,6,Lake Cormorant High,6A,2-0,79.1,25,3,12.6,72.5,20.5,7.5,24,60.62,26.4,Playing up,1.0,1,0,0
25,7,Gautier High School,6A,1-1,77.6,1,0,6.6,95.0,38.5,35.0,64,50.48,32.6,Playing up,0.5,1,1,0
26,8,Neshoba Central High School,6A,1-1,77.5,41,9,18.2,98.2,35.5,41.5,35,57.73,37.1,Playing down,-0.5,1,0,1
27,9,Hattiesburg High School,6A,1-1,77.0,-10,-4,2.8,91.9,30.5,30.0,28,60.41,35.5,Mostly same class,0.0,1,0,1
32,10,South Panola High School,6A,0-2,74.0,-18,-7,-1.4,92.3,17.5,21.5,19,64.16,38.4,Playing up,1.0,2,0,0
37,11,Pearl River Central High School,6A,2-0,70.6,11,-1,4.8,66.7,35.0,27.5,88,45.99,19.4,Playing down,-1.0,0,0,1
40,12,Center Hill High School,6A,2-0,70.0,-31,-10,-8.6,25.7,33.0,11.0,58,51.69,22.3,Playing up,1.0,1,0,0
50,13,Ridgeland High School,6A,1-1,66.8,23,7,8.6,58.1,31.0,23.0,52,53.31,21.0,Playing down,-1.5,0,0,2
54,14,George County High School,6A,1-1,66.7,32,7,10.9,76.6,41.5,41.5,107,42.9,21.4,Playing down,-0.5,0,1,1
55,15,West Jones High School,6A,1-1,65.8,10,1,5.6,60.4,38.5,35.0,106,43.06,22.9,Playing down,-1.0,0,0,2
65,16,Olive Branch High School,6A,1-1,62.9,30,6,9.6,65.8,31.0,30.5,90,45.98,23.2,Playing down,-0.5,1,0,1
83,17,Hancock High School,6A,1-1,59.4,-23,-3,-2.1,70.3,30.5,32.0,135,39.32,20.2,Mostly same class,0.0,1,0,1
91,18,Long Beach Senior High School,6A,1-1,56.8,56,6,16.1,91.0,10.0,27.5,134,39.98,25.7,Playing down,-2.0,0,0,2
93,19,Greenville High School,6A,2-0,55.7,-32,-4,-5.8,3.6,29.0,3.0,143,37.77,6.1,Playing down,-2.5,0,0,2
108,20,Picayune Memorial High School,6A,0-2,51.5,-39,-2,-7.4,99.5,8.5,41.5,23,61.72,48.5,Playing up,1.0,1,0,0
116,21,Jim Hill High School,6A,1-1,48.6,-57,-8,-13.6,52.9,21.0,20.0,219,25.32,13.5,Playing down,-3.0,0,0,2
140,22,Saltillo High School,6A,0-2,41.0,-19,1,-6.8,90.5,17.5,52.5,183,29.79,28.6,Playing down,-1.5,0,0,2
155,23,Callaway High School,6A,1-1,37.6,-130,-17,-33.5,45.5,18.5,24.0,206,26.84,12.6,Playing up,0.5,1,1,0
173,24,Forest Hill High School,6A,0-2,33.2,-103,-5,-25.5,78.8,0.0,29.0,248,15.59,18.3,Playing down,-0.5,0,1,1
