state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
120,19,North Pike Senior High School,5A,1-2,48.4,15,2,4.6,83.3,15.0,28.3,186,28.53,24.2,Playing down,-1.333,1,0,2
121,16,Kemper County High School,2A,2-1,48.2,33,6,10.5,24.8,38.7,34.0,96,42.75,22.1,Playing up,1.0,2,0,0
122,17,Aberdeen High School,3A,3-0,47.9,-17,-3,-4.1,0.9,48.0,22.7,99,42.09,11.3,Playing down,-2.0,0,0,3
123,17,Perry Central High School,2A,1-2,47.5,7,-2,2.4,66.7,21.7,27.0,169,30.69,22.4,Playing up,1.333,2,1,0
124,3,Stringer Attendance Center,1A,1-2,46.9,39,7,11.2,52.7,24.0,23.3,154,32.76,20.2,Playing up,1.0,2,0,0
125,18,Jefferson Co High,3A,1-2,46.7,26,3,8.0,86.9,13.3,29.7,159,31.69,27.6,Mostly same class,0.0,1,0,1
126,4,Simmons High School,1A,1-1,46.3,3,1,1.1,50.0,25.0,13.0,121,39.05,22.6,Playing up,1.0,1,1,0
127,20,Holmes County Central High School,5A,1-2,45.9,-71,-13,-19.8,71.6,25.7,38.0,163,31.17,22.2,Playing up,0.333,1,1,1
128,24,Amory High School,4A,1-2,45.7,38,12,11.4,59.0,19.0,25.0,146,35.13,23.4,Playing up,1.333,3,0,0
129,19,Franklin High School,3A,0-3,45.2,12,0,4.6,78.4,10.7,24.7,166,30.83,25.7,Playing up,1.0,2,0,1
130,25,Tishomingo County High School,4A,2-1,45.1,-95,-18,-26.8,14.4,32.0,16.0,184,28.82,13.2,Playing down,-1.667,0,0,3
131,26,Rosa Fort High School,4A,1-2,44.9,-19,-2,-5.0,26.1,28.7,23.7,118,40.22,23.6,Playing down,-1.0,0,0,2
132,20,Southeast Lauderdale High School,3A,2-1,44.9,27,4,8.1,43.2,13.7,13.7,181,29.07,17.8,Playing down,-0.667,1,0,2
133,18,Bruce High School,2A,3-0,44.2,6,-1,2.6,0.0,38.7,11.3,168,30.81,3.7,Mostly same class,0.0,1,0,2
134,5,Calhoun City High School,1A,1-2,44.0,-10,-2,-3.0,73.4,23.3,41.0,138,35.59,26.6,Playing up,1.667,3,0,0
135,19,Northside High School,2A,0-0,43.6,11,2,3.4,50.0,0.0,0.0,73,47.47,15.8,No class data,0.0,0,0,0
136,27,Gentry High School,4A,1-2,43.5,20,8,5.9,63.1,13.3,16.7,197,26.0,17.1,Mostly same class,0.0,1,0,2
137,21,Florence High School,5A,0-3,43.1,-5,-1,-1.5,88.3,12.3,32.7,162,31.4,31.1,Mostly same class,0.0,1,0,2
138,28,Mooreville High School,4A,2-1,42.4,9,5,3.5,3.6,41.7,24.0,152,33.25,10.6,Playing down,-0.667,0,2,1
139,21,Union High School,3A,1-2,42.2,23,4,6.3,62.6,20.0,26.3,160,31.48,20.8,Playing down,-1.0,0,0,3
140,22,St. Patrick,3A,2-1,41.7,30,4,7.8,37.8,18.3,15.7,182,29.02,9.9,Playing down,-1.0,0,0,1
141,29,Northeast Lauderdale High School,4A,1-2,41.7,-14,-2,-3.9,46.8,17.0,19.0,173,30.28,18.0,Playing down,-1.667,0,0,3
142,30,Ripley High School,4A,1-2,41.4,-36,-7,-10.6,82.9,16.3,38.3,174,30.25,26.9,Playing up,1.667,2,1,0
143,23,St. Stanislaus,3A,2-1,40.9,5,-3,2.0,8.1,29.7,15.3,176,29.45,8.2,Playing up,1.0,3,0,0
144,20,Lake High School,2A,1-1,40.6,0,-1,0.1,44.1,32.0,32.0,148,34.54,18.4,Playing up,0.5,1,0,1
145,22,Provine High School,5A,0-3,40.2,27,2,6.7,97.3,2.0,31.7,232,16.89,30.1,Mostly same class,0.0,1,1,1
