calendar_date,home,away,home_name,away_name,home_score,away_score,neutral,forfeit,both_teams_ranked,perspective_check
2026-08-28,lake-cormorant,external-529091,Lake Cormorant High,external-529091,27,8,False,False,False,single_ranked_team
2026-08-28,richland,florence,Richland High School,Florence High School,31,21,False,False,True,consistent
2026-08-28,lake,forest,Lake High School,Forest High School,18,37,False,False,True,consistent
2026-08-28,forrest-county-agricultural,st-stanislaus,Forrest County Agricultural Hi Sch,St. Stanislaus,27,14,False,False,True,consistent
2026-08-28,north-pike,franklin,North Pike Senior High School,Franklin High School,17,12,False,False,True,consistent
2026-08-28,gautier,george-county,Gautier High School,George County High School,63,35,False,False,True,consistent
2026-08-28,gentry,greenville,Gentry High School,Greenville High School,6,16,False,False,True,consistent
2026-08-28,germantown,northwest-rankin,Germantown High School,Northwest Rankin High School,60,27,False,False,True,consistent
2026-08-28,picayune,gulfport,Picayune Memorial High School,Gulfport High School,0,35,False,False,True,consistent
2026-08-28,stone,hancock,Stone High School,Hancock High School,50,44,False,False,True,consistent
2026-08-28,harrison-central,lanier,Harrison Central High School,Lanier High School,20,24,False,False,True,consistent
2026-08-28,nettleton,hatley,Nettleton High School,Hatley High School,18,24,False,False,True,consistent
2026-08-28,hattiesburg,petal,Hattiesburg High School,Petal High School,34,35,False,False,True,consistent
2026-08-28,heidelberg,noxubee-county,Heidelberg High School,Noxubee County High School,20,21,False,False,True,consistent
2026-08-28,holly-springs,mantachie,Holly Springs High School,Mantachie Attendance Center,28,25,False,False,True,consistent
2026-08-28,water-valley,independence,Water Valley High School,Independence High School,20,24,False,False,True,consistent
2026-08-28,kosciusko,neshoba-central,Kosciusko Senior High School,Neshoba Central High School,55,35,False,False,True,consistent
2026-08-28,laurel,west-jones,Laurel High School,West Jones High School,56,42,False,False,True,consistent
2026-08-28,provine,leake-central,Provine High School,Leake Central High School,0,35,False,False,True,consistent
2026-08-28,shaw,leflore-county,Shaw High School,Leflore County High School,0,30,False,False,True,consistent
2026-08-28,obannon,leland,O’Bannon High School,Leland High School,28,0,False,False,True,consistent
2026-08-28,long-beach,pass-christian,Long Beach Senior High School,Pass Christian High School,3,48,False,False,True,consistent
2026-08-28,west-point,louisville,West Point High School,Louisville High School,6,21,False,False,True,consistent
2026-08-28,loyd-star,perry-central,Loyd Star School,Perry Central High School,16,24,False,False,True,consistent
2026-08-28,lumberton,purvis,Lumberton High School,Purvis High School,14,27,False,False,True,consistent
2026-08-28,magee,mount-olive,Magee High School,Mount Olive Attendance Center,64,0,False,False,True,consistent
2026-08-28,tylertown,mccomb,Tylertown High School,McComb High School,0,41,False,False,True,consistent
2026-08-28,salem,mclaurin,Salem Attendance Center,McLaurin Attendance Center,30,33,False,False,True,consistent
2026-08-28,ridgeland,mendenhall,Ridgeland High School,Mendenhall High School,27,46,False,False,True,consistent
2026-08-28,mize,taylorsville,Mize Attendance Center,Taylorsville Attendance Center,56,6,False,False,True,consistent
2026-08-28,ripley,mooreville,Ripley High School,Mooreville High School,34,23,False,False,True,consistent
2026-08-28,morton,newton-county,Morton High School,Newton County High School,42,13,False,False,True,consistent
2026-08-28,pascagoula,moss-point,Pascagoula High School,Moss Point High School,44,0,False,False,True,consistent
2026-08-28,murrah,terry,Murrah High School,Terry High School,6,55,False,False,True,consistent
2026-08-28,vardaman,nanih-waiya,Vardaman High School,Nanih Waiya Attendance Center,45,65,False,False,True,consistent
2026-08-28,vicksburg,natchez,Vicksburg High School,Natchez High School,14,20,False,False,True,consistent
2026-08-28,saltillo,new-albany,Saltillo High School,New Albany High School,7,34,False,False,True,consistent
2026-08-28,rosa-fort,north-panola,Rosa Fort High School,North Panola High School,36,0,False,False,True,consistent
2026-08-28,scott-central,northeast-lauderdale,Scott Central Attendance Center,Northeast Lauderdale High School,30,7,False,False,True,consistent
2026-08-28,southeast-lauderdale,noxapater,Southeast Lauderdale High School,Noxapater Attendance Center,7,0,False,False,True,consistent
