state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
81,1,Mize Attendance Center,2A,1-0,56.6,,,,2.3,56.0,6.0,70,50.62,15.1,Playing down,-1.0,0,0,1
82,2,Charleston High School,2A,1-0,56.5,,,,8.7,42.0,0.0,78,49.59,11.1,Playing up,1.0,1,0,0
83,3,East Marion High School,2A,1-0,56.2,,,,9.6,40.0,0.0,96,47.66,13.3,Playing up,1.0,1,0,0
93,4,Wesson Attendance Center,2A,1-0,54.4,,,,1.4,41.0,0.0,75,49.61,11.8,Playing down,-1.0,0,0,1
96,5,Amite County High School,2A,1-0,53.0,,,,0.0,44.0,0.0,110,46.12,9.0,Playing down,-1.0,0,0,1
102,6,East Webster High School,2A,1-0,51.6,,,,28.7,20.0,14.0,36,60.71,30.7,Playing up,1.0,1,0,0
106,7,Scott Central Attendance Center,2A,1-0,50.9,,,,23.4,30.0,7.0,111,46.05,12.0,Playing up,2.0,1,0,0
116,8,Clarkdale High School,2A,1-0,49.1,,,,3.7,56.0,15.0,101,46.93,8.8,Playing down,-1.0,0,0,1
118,9,Kemper County High School,2A,1-0,48.6,,,,19.3,48.0,34.0,87,48.5,16.6,Playing up,1.0,1,0,0
119,10,Eupora High School,2A,1-0,48.5,,,,10.6,40.0,14.0,100,47.17,12.8,Mostly same class,0.0,0,1,0
120,11,Baldwyn High School,2A,1-0,48.1,,,,22.0,28.0,13.0,93,47.95,15.3,Playing up,1.0,1,0,0
127,12,Sacred Heart,2A,1-0,45.8,,,,12.8,24.0,0.0,130,44.26,10.2,No class data,0.0,0,0,0
134,13,Heidelberg High School,2A,0-1,44.5,,,,41.1,20.0,21.0,62,51.86,33.8,Playing up,1.0,1,0,0
138,14,Bruce High School,2A,1-0,43.4,,,,36.2,33.0,28.0,167,33.81,13.1,Playing up,2.0,1,0,0
142,15,Walnut Attendance Center,2A,1-0,42.0,,,,22.9,31.0,18.0,161,34.44,10.6,No class data,0.0,0,0,0
148,16,Hatley High School,2A,1-0,40.4,,,,28.7,24.0,18.0,159,34.69,12.7,Playing up,1.0,1,0,0
150,17,Enterprise (Clarke),2A,1-0,40.1,,,,11.5,40.0,24.0,128,44.39,12.4,Playing down,-1.0,0,0,1
155,18,Perry Central High School,2A,1-0,39.7,,,,18.3,24.0,16.0,142,41.62,14.9,Mostly same class,0.0,0,1,0
157,19,Northside High School,2A,0-0,39.6,,,,50.0,0.0,0.0,91,48.15,12.6,No class data,0.0,0,0,0
159,20,Pelahatchie Attendance Center,2A,1-0,39.3,,,,30.7,27.0,19.0,168,33.67,12.8,Playing up,1.0,1,0,0
165,21,Velma Jackson High School,2A,0-1,37.9,,,,93.1,20.0,56.0,207,28.83,26.6,Playing up,4.0,1,0,0
166,22,Philadelphia High School,2A,0-1,37.6,,,,41.1,26.0,27.0,156,35.75,21.8,Playing up,1.0,1,0,0
174,23,Lake High School,2A,0-1,35.6,,,,72.5,18.0,37.0,203,29.05,26.3,Playing up,2.0,1,0,0
178,24,Bay Springs High School,2A,0-1,35.3,,,,73.4,18.0,38.0,188,30.84,24.5,Playing up,2.0,1,0,0
180,25,J Z George High School,2A,1-0,34.8,,,,13.3,28.0,20.0,178,32.78,12.9,Playing down,-1.0,0,0,1
183,26,Enterprise (Brookhaven),2A,1-0,34.4,,,,30.3,14.0,13.0,183,31.66,15.1,Mostly same class,0.0,0,1,0
185,27,Water Valley High School,2A,0-1,33.8,,,,47.2,20.0,24.0,182,31.66,17.2,Playing up,1.0,1,0,0
190,28,Collins High School,2A,0-1,32.6,,,,88.5,0.0,39.0,231,25.18,25.8,Playing up,3.0,1,0,0
192,29,North Forrest High School,2A,0-1,31.8,,,,26.6,13.0,14.0,184,31.65,14.6,Mostly same class,0.0,0,1,0
193,30,Myrtle Attendance Center,2A,0-1,30.9,,,,33.5,18.0,28.0,169,33.51,26.3,Playing down,-1.0,0,0,1
195,31,Loyd Star School,2A,0-1,30.0,,,,38.1,16.0,24.0,187,31.06,19.7,Mostly same class,0.0,0,1,0
197,32,Newton High School,2A,0-1,29.3,,,,82.6,8.0,48.0,247,20.56,23.5,Playing up,2.0,1,0,0
201,33,Leland High School,2A,0-1,28.6,,,,66.5,0.0,28.0,241,22.29,21.8,Playing up,1.0,1,0,0
205,34,Hamilton High School,2A,0-1,28.1,,,,55.0,14.0,40.0,216,27.61,24.3,Mostly same class,0.0,0,1,0
208,35,Wilkinson County High,2A,0-1,27.2,,,,26.1,18.0,22.0,200,29.23,17.8,Playing down,-1.0,0,0,1
210,36,Strayhorn High School,2A,0-1,26.3,,,,21.6,36.0,40.0,222,26.93,14.5,Playing down,-1.0,0,0,1
217,37,Puckett Attendance Center,2A,0-1,24.6,,,,34.9,0.0,13.0,244,20.86,18.6,Playing down,-1.0,0,0,1
220,38,M. S. Palmer High School,2A,0-1,23.0,,,,61.0,6.0,44.0,254,19.3,22.1,Playing down,-1.0,0,0,1
222,39,East Union Attendance Center,2A,0-1,22.5,,,,61.9,0.0,42.0,256,19.1,22.1,Playing down,-1.0,0,0,1
