state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
2,1,Poplarville Jr Sr High School,4A,2-0,89.5,9,0,10.9,70.7,41.0,3.5,21,63.14,27.1,Playing up,2.0,2,0,0
11,2,Pass Christian High School,4A,2-0,83.1,20,4,13.6,58.6,51.5,11.0,48,54.43,20.5,Playing up,1.5,2,0,0
13,3,Mendenhall High School,4A,2-0,82.1,10,-1,9.9,76.1,40.5,21.0,47,54.45,24.4,Playing up,0.5,1,0,1
18,4,Kosciusko Senior High School,4A,2-0,79.4,9,0,9.0,59.0,50.5,25.5,33,58.46,22.9,Playing up,1.5,2,0,0
22,5,Itawamba Agricultural High School,4A,2-0,78.9,23,4,12.5,64.4,31.5,12.0,45,55.35,25.6,Playing up,0.5,1,1,0
24,6,Louisville High School,4A,2-0,77.8,0,-3,5.9,46.8,24.5,3.0,12,72.64,33.3,Playing up,0.5,1,1,0
35,7,Tishomingo County High School,4A,2-0,71.9,65,16,19.3,32.0,41.5,8.5,80,48.04,17.5,Playing down,-2.0,0,0,2
38,8,Senatobia High School,4A,2-0,70.5,40,9,13.4,57.7,27.5,17.5,55,52.4,24.9,Mostly same class,0.0,0,1,0
41,9,Corinth High School,4A,1-1,69.9,0,-1,2.8,83.3,21.0,21.0,46,55.28,33.5,Playing up,0.5,1,1,0
53,10,McComb High School,4A,2-0,66.7,-4,1,1.3,10.8,41.5,3.0,72,50.02,12.0,Playing down,-1.0,0,0,2
57,11,Shannon High School,4A,1-1,64.8,-19,-4,-2.8,84.2,15.5,20.5,54,53.07,34.1,Playing up,1.0,1,1,0
64,12,Morton High School,4A,2-0,63.1,-14,0,-1.9,19.8,45.5,23.5,66,50.22,17.3,Mostly same class,0.0,0,2,0
68,13,New Albany High School,4A,1-1,62.4,-39,-8,-7.4,48.6,30.5,20.5,71,50.02,22.4,Playing up,1.0,1,1,0
74,14,Houston High School,4A,1-1,60.7,-27,-4,-5.2,56.3,29.0,19.5,147,35.8,17.5,Playing up,1.0,2,0,0
77,15,Clarksdale High School,4A,1-1,60.3,11,6,5.0,36.0,37.5,23.5,76,48.72,18.7,Playing down,-1.0,0,0,1
78,16,Greene County High School,4A,2-0,60.1,-2,0,2.3,42.3,32.0,20.0,97,45.19,16.0,Playing down,-0.5,1,0,1
79,17,Columbia High School,4A,1-1,59.9,6,2,4.2,33.3,33.5,21.0,41,55.87,23.7,Playing down,-1.0,0,0,1
80,18,Choctaw Central,4A,1-1,59.9,-5,-3,2.0,34.2,37.5,18.0,127,40.82,14.9,Playing down,-2.0,0,0,1
88,19,South Pike Senior High School,4A,1-1,57.6,-4,-1,1.6,64.0,31.0,29.0,148,35.8,20.0,Playing down,-0.5,1,0,1
89,20,Forest High School,4A,1-1,56.9,-2,0,1.3,55.0,28.0,27.5,92,45.86,25.1,Playing up,0.5,1,0,1
94,21,North Pontotoc High School,4A,1-1,55.6,51,10,14.6,51.8,33.0,30.5,109,42.81,19.1,Playing down,-1.0,0,0,2
103,22,Greenwood High School,4A,0-2,53.0,23,6,6.9,84.7,5.0,14.5,149,35.3,25.7,Playing down,-1.0,0,0,1
