state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
58,1,Amite County High School,2A,2-0,64.7,38,4,11.7,15.3,36.0,0.0,81,47.76,14.6,Playing down,-1.0,0,0,2
63,2,Scott Central Attendance Center,2A,2-0,63.3,43,5,12.5,34.9,32.0,13.0,85,47.22,16.8,Playing up,1.5,2,0,0
72,3,Heidelberg High School,2A,1-1,61.2,62,10,16.7,24.1,43.0,17.5,57,51.86,24.2,Playing up,1.0,2,0,0
73,4,Water Valley High School,2A,1-1,61.0,112,23,27.2,49.5,33.5,13.5,108,42.82,16.2,Playing up,1.5,2,0,0
85,5,East Webster High School,2A,2-0,58.3,17,1,6.7,14.4,33.5,13.5,42,55.49,21.1,Mostly same class,0.0,1,0,1
90,6,Wesson Attendance Center,2A,2-0,56.8,3,-2,2.5,9.5,35.0,7.0,86,46.88,10.0,Playing up,1.0,1,0,1
96,7,Velma Jackson High School,2A,1-1,55.2,69,14,17.3,85.1,28.0,35.5,114,42.11,23.0,Playing up,2.5,2,0,0
107,8,J Z George High School,2A,2-0,51.7,73,17,16.9,43.7,20.5,14.0,128,40.79,18.7,Playing down,-1.0,0,0,2
109,9,Clarkdale High School,2A,2-0,51.5,7,-1,2.4,6.3,39.0,11.5,101,44.34,10.6,Playing down,-1.0,0,0,2
117,10,Enterprise (Clarke),2A,2-0,48.4,33,7,8.2,18.5,33.5,18.5,110,42.78,13.3,Mostly same class,0.0,1,0,1
118,11,Sacred Heart,2A,2-0,48.3,9,1,2.5,17.6,27.0,9.5,130,40.24,11.3,Playing up,1.0,1,0,0
119,12,Charleston High School,2A,2-0,48.1,-37,-10,-8.5,2.3,33.0,7.0,111,42.34,6.3,Playing up,1.0,2,0,0
121,13,Mize Attendance Center,2A,1-1,47.6,-40,-12,-9.0,9.9,36.5,13.5,93,45.83,18.5,Mostly same class,0.0,1,0,1
122,14,Eupora High School,2A,2-0,47.4,-3,-4,-1.1,1.8,37.0,14.0,115,41.96,7.8,Playing down,-0.5,0,1,1
130,15,Perry Central High School,2A,1-1,45.2,25,3,5.4,60.8,25.5,29.5,176,31.04,19.8,Playing up,1.0,1,1,0
137,16,East Marion High School,2A,1-1,42.5,-54,-13,-13.7,14.0,31.0,15.5,155,35.05,16.1,Playing up,1.0,2,0,0
139,17,Bruce High School,2A,2-0,41.6,-1,-3,-1.8,0.9,37.5,14.0,175,31.08,5.7,Playing up,0.5,1,0,1
142,18,Hatley High School,2A,2-0,40.6,6,-2,0.2,30.2,23.0,19.0,172,31.21,12.4,Mostly same class,0.0,1,0,1
144,19,Lake High School,2A,1-1,40.5,30,4,4.9,40.1,32.0,32.0,144,37.72,18.7,Playing up,0.5,1,0,1
145,20,Wilkinson County High,2A,1-1,40.3,63,15,13.1,17.1,28.0,14.5,158,33.1,13.2,Playing down,-1.0,0,0,2
146,21,Northside High School,2A,0-0,40.2,11,-2,0.6,50.0,0.0,0.0,91,45.87,10.2,No class data,0.0,0,0,0
154,22,Kemper County High School,2A,1-1,37.7,-36,-13,-10.9,24.1,41.0,47.5,118,41.71,24.2,Playing up,1.0,2,0,0
160,23,Myrtle Attendance Center,2A,1-1,36.8,33,7,5.8,8.1,30.0,17.0,146,36.81,14.1,Playing down,-1.0,0,0,2
164,24,Enterprise (Brookhaven),2A,2-0,35.3,19,2,1.0,18.0,20.0,15.5,191,28.58,12.5,Mostly same class,0.0,0,2,0
165,25,Baldwyn High School,2A,1-1,35.1,-45,-14,-13.1,39.6,20.0,28.5,153,35.09,19.5,Playing up,1.0,2,0,0
167,26,Loyd Star School,2A,1-1,34.2,28,5,4.2,3.2,27.5,13.0,167,31.79,8.4,Playing down,-0.5,0,1,1
169,27,Pelahatchie Attendance Center,2A,1-1,34.1,-10,-7,-5.2,32.9,22.5,22.5,190,28.58,14.6,Playing up,0.5,1,1,0
178,28,Bay Springs High School,2A,1-1,31.4,0,-4,-3.9,9.0,24.0,19.0,165,31.94,13.3,Playing up,0.5,1,0,1
180,29,Collins High School,2A,0-2,31.2,10,-1,-1.4,86.9,0.0,44.0,221,24.24,29.8,Playing up,2.0,2,0,0
184,30,Puckett Attendance Center,2A,1-1,30.1,33,7,5.5,11.7,20.5,12.5,215,25.38,8.1,Mostly same class,0.0,1,0,1
190,31,Newton High School,2A,1-1,28.4,7,1,-0.9,11.3,26.0,24.0,214,25.6,11.0,Playing up,0.5,1,0,1
197,32,North Forrest High School,2A,0-2,25.7,-5,-3,-6.1,29.3,12.5,20.0,216,25.36,16.0,Playing down,-0.5,0,1,1
200,33,Hamilton High School,2A,0-2,25.0,5,1,-3.1,41.0,24.5,40.5,222,24.22,17.8,Playing down,-0.5,0,1,1
204,34,Philadelphia High School,2A,0-2,24.0,-38,-12,-13.7,34.9,16.0,28.5,224,23.29,16.8,Playing up,1.5,2,0,0
205,35,M. S. Palmer High School,2A,0-2,23.7,15,3,0.7,71.6,3.0,49.5,254,5.29,23.4,Mostly same class,0.0,1,0,1
209,36,Leland High School,2A,0-2,21.3,-8,-3,-7.4,33.8,7.0,25.0,240,18.06,16.7,Mostly same class,0.0,1,0,1
210,37,Walnut Attendance Center,2A,1-1,21.2,-68,-22,-20.8,16.7,15.5,23.5,226,23.05,13.1,Playing up,1.0,1,0,0
211,38,East Union Attendance Center,2A,0-2,19.8,11,1,-2.7,62.2,10.5,52.0,264,-6.08,16.8,Playing up,0.5,1,0,1
224,39,Strayhorn High School,2A,0-2,11.3,-14,-3,-15.0,15.8,21.0,44.0,262,-5.21,8.8,Playing down,-1.0,0,0,1
