state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
1,1,Tupelo High School,7A,2-0,92.2,0,0,5.9,73.9,43.5,10.5,1,91.53,38.0,Mostly same class,0.0,0,1,0
3,2,Starkville High School,7A,2-0,88.1,3,4,4.9,73.4,31.5,11.5,3,80.74,41.5,Playing down,-1.0,0,1,1
4,3,Diberville Senior High Sch,7A,2-0,87.7,14,9,13.7,77.5,28.0,10.0,9,73.28,30.4,Playing down,-2.5,0,0,2
5,4,Germantown High School,7A,1-1,86.6,-2,-1,2.8,86.0,42.5,27.5,5,77.91,41.0,Mostly same class,0.0,0,2,0
6,5,Oxford High School,7A,2-0,86.2,9,6,11.0,89.2,25.5,17.0,7,74.08,34.1,Playing down,-1.0,0,0,1
10,6,Oak Grove High School,7A,1-1,84.1,0,2,5.5,100.0,21.5,21.0,6,77.5,47.2,Mostly same class,0.0,0,2,0
12,7,Gulfport High School,7A,1-0,83.0,-7,-2,-0.5,21.2,35.0,0.0,2,80.79,31.6,Playing down,-1.0,0,0,1
15,8,Petal High School,7A,2-0,80.8,-7,-1,1.7,65.3,39.0,27.5,16,70.53,32.7,Playing down,-0.5,0,1,1
16,9,Biloxi High School,7A,1-1,80.7,-4,0,2.2,90.1,21.5,18.0,27,60.45,31.8,Playing down,-1.5,0,0,2
19,10,Brandon High School,7A,1-1,79.3,15,8,10.0,99.1,23.5,30.5,11,72.85,46.3,Mostly same class,0.0,0,2,0
21,11,St. Martin High School,7A,2-0,79.1,-1,3,6.1,45.9,45.0,7.0,44,55.46,16.5,Playing down,-2.0,0,0,2
23,12,Meridian High School,7A,1-1,78.8,-21,-10,-6.3,61.7,37.5,22.5,37,57.35,30.9,Playing down,-0.5,0,1,1
29,13,Desoto Central High School,7A,1-1,75.6,-16,-3,-2.8,88.7,16.5,19.5,25,60.6,35.5,Playing down,-1.0,0,0,2
30,14,Madison Central High School,7A,1-1,74.9,-26,-10,-8.7,77.0,20.0,20.0,15,70.88,36.1,Mostly same class,0.0,0,2,0
33,15,Northwest Rankin High School,7A,1-1,73.3,7,5,6.2,91.4,35.5,47.0,18,66.62,39.1,Mostly same class,0.0,0,2,0
34,16,West Harrison High School,7A,1-1,72.9,45,8,16.0,93.2,22.0,29.5,31,59.54,33.0,Playing down,-3.0,0,0,2
45,17,Clinton High School,7A,0-2,68.4,-24,-2,-4.3,87.8,29.0,39.5,22,63.12,39.7,Playing down,-0.5,0,1,1
48,18,Southaven High School,7A,1-1,67.9,24,5,9.5,52.3,24.0,10.5,70,50.05,19.4,Playing down,-3.0,0,0,2
52,19,Hernando High School,7A,2-0,66.7,-19,-2,-2.6,1.4,52.0,3.5,60,51.61,12.5,No class data,0.0,0,0,0
62,20,Murrah High School,7A,1-1,63.5,61,5,16.9,85.6,27.0,39.0,125,40.83,21.2,Playing down,-1.0,0,0,2
66,21,Horn Lake High,7A,0-2,62.6,-44,-5,-9.8,95.5,11.5,29.0,59,51.69,32.3,Playing down,-1.0,0,0,1
69,22,Pearl High School,7A,0-2,61.4,-50,-9,-12.5,94.6,10.5,28.5,32,58.62,41.4,Playing down,-0.5,0,1,1
70,23,Harrison Central High School,7A,0-2,61.3,-15,-2,-2.7,79.3,17.0,20.5,140,38.17,21.3,Playing down,-1.5,0,0,2
101,24,Ocean Springs High School,7A,0-2,53.8,-39,-2,-7.4,97.3,15.0,45.0,36,57.43,37.3,Mostly same class,0.0,0,2,0
123,25,Lewisburg High School,7A,1-1,47.2,-87,-6,-21.3,43.2,28.0,31.5,169,31.79,18.5,Playing down,-1.0,0,0,1
